t,type,state,heading,target_heading,depth,target_depth,roll,pitch,yaw_rate,surge,yaw,heave,note
21.118,DATA,STRAIGHT1,0,0,0.629,0.6,0.0,0.0,0.0,0.35,0.0,0.034,
21.22,DATA,STRAIGHT1,0,0,0.629,0.6,0.0,0.0,0.0,0.35,0.0,0.034,
21.322,DATA,STRAIGHT1,0,0,0.629,0.6,0.0,0.0,0.0,0.35,0.0,0.034,
21.424,DATA,STRAIGHT1,0,0,0.629,0.6,0.0,0.0,0.0,0.35,0.0,0.033,
21.526,DATA,STRAIGHT1,0,0,0.629,0.6,0.0,0.0,0.0,0.35,0.0,0.033,
21.628,DATA,STRAIGHT1,0,0,0.629,0.6,0.0,0.0,0.0,0.35,0.0,0.033,
21.73,DATA,STRAIGHT1,0,0,0.629,0.6,0.0,0.0,0.0,0.35,0.0,0.032,
21.832,DATA,STRAIGHT1,0,0,0.629,0.6,0.0,0.0,0.0,0.35,0.0,0.032,
21.934,DATA,STRAIGHT1,0,0,0.629,0.6,0.0,0.0,0.0,0.35,0.0,0.032,
22.037,DATA,STRAIGHT1,0,0,0.629,0.6,0.0,0.0,0.0,0.35,0.0,0.032,
22.139,DATA,STRAIGHT1,0,0,0.629,0.6,0.0,0.0,0.0,0.35,0.0,0.031,
22.241,DATA,STRAIGHT1,0,0,0.629,0.6,0.0,0.0,0.0,0.35,0.0,0.031,
22.343,DATA,STRAIGHT1,0,0,0.629,0.6,0.0,0.0,0.0,0.35,0.0,0.031,
22.445,DATA,STRAIGHT1,0,0,0.629,0.6,0.0,0.0,0.0,0.35,0.0,0.03,
22.547,DATA,STRAIGHT1,0,0,0.629,0.6,0.0,0.0,0.0,0.35,0.0,0.03,
22.649,DATA,STRAIGHT1,0,0,0.629,0.6,0.0,0.0,0.0,0.35,0.0,0.03,
22.751,DATA,STRAIGHT1,0,0,0.629,0.6,0.0,0.0,0.0,0.35,0.0,0.029,
22.853,DATA,STRAIGHT1,0,0,0.629,0.6,0.0,0.0,0.0,0.35,0.0,0.029,
22.955,DATA,STRAIGHT1,0,0,0.629,0.6,0.0,0.0,0.0,0.35,0.0,0.029,
23.057,DATA,STRAIGHT1,0,0,0.629,0.6,0.0,0.0,0.0,0.35,0.0,0.029,
23.159,DATA,STRAIGHT1,0,0,0.629,0.6,0.0,0.0,0.0,0.35,0.0,0.028,
23.261,DATA,STRAIGHT1,0,0,0.629,0.6,0.0,0.0,0.0,0.35,0.0,0.028,
23.363,DATA,STRAIGHT1,0,0,0.629,0.6,0.0,0.0,0.0,0.35,0.0,0.028,
23.465,DATA,STRAIGHT1,0,0,0.629,0.6,0.0,0.0,0.0,0.35,0.0,0.027,
23.567,DATA,STRAIGHT1,0,0,0.629,0.6,0.0,0.0,0.0,0.35,0.0,0.027,
23.669,DATA,STRAIGHT1,0,0,0.629,0.6,0.0,0.0,0.0,0.35,0.0,0.027,
23.771,DATA,STRAIGHT1,0,0,0.629,0.6,0.0,0.0,0.0,0.35,0.0,0.026,
23.873,DATA,STRAIGHT1,0,0,0.629,0.6,0.0,0.0,0.0,0.35,0.0,0.026,
23.976,DATA,STRAIGHT1,0,0,0.629,0.6,0.0,0.0,0.0,0.35,0.0,0.026,
24.078,DATA,STRAIGHT1,0,0,0.629,0.6,0.0,0.0,0.0,0.35,0.0,0.026,
24.18,DATA,STRAIGHT1,0,0,0.629,0.6,0.0,0.0,0.0,0.35,0.0,0.025,
24.282,DATA,STRAIGHT1,0,0,0.629,0.6,0.0,0.0,0.0,0.35,0.0,0.025,
24.384,DATA,STRAIGHT1,0,0,0.629,0.6,0.0,0.0,0.0,0.35,0.0,0.025,
24.487,DATA,STRAIGHT1,0,0,0.629,0.6,0.0,0.0,0.0,0.35,0.0,0.024,
24.589,DATA,STRAIGHT1,0,0,0.629,0.6,0.0,0.0,0.0,0.35,0.0,0.024,
24.691,DATA,STRAIGHT1,0,0,0.629,0.6,0.0,0.0,0.0,0.35,0.0,0.024,
24.793,DATA,STRAIGHT1,0,0,0.629,0.6,0.0,0.0,0.0,0.35,0.0,0.023,
24.895,DATA,STRAIGHT1,0,0,0.629,0.6,0.0,0.0,0.0,0.35,0.0,0.023,
24.997,DATA,STRAIGHT1,0,0,0.629,0.6,0.0,0.0,0.0,0.35,0.0,0.023,
25.1,DATA,STRAIGHT1,0,0,0.629,0.6,0.0,0.0,0.0,0.35,0.0,0.023,
25.202,DATA,STRAIGHT1,0,0,0.629,0.6,0.0,0.0,0.0,0.35,0.0,0.022,
25.304,DATA,STRAIGHT1,0,0,0.629,0.6,0.0,0.0,0.0,0.35,0.0,0.022,
25.406,DATA,STRAIGHT1,0,0,0.629,0.6,0.0,0.0,0.0,0.35,0.0,0.022,
25.508,DATA,STRAIGHT1,0,0,0.629,0.6,0.0,0.0,0.0,0.35,0.0,0.021,
25.61,DATA,STRAIGHT1,0,0,0.629,0.6,0.0,0.0,0.0,0.35,0.0,0.021,
25.712,DATA,STRAIGHT1,0,0,0.629,0.6,0.0,0.0,0.0,0.35,0.0,0.021,
25.814,DATA,STRAIGHT1,0,0,0.629,0.6,0.0,0.0,0.0,0.35,0.0,0.02,
25.916,DATA,STRAIGHT1,0,0,0.629,0.6,0.0,0.0,0.0,0.35,0.0,0.02,
26.018,DATA,STRAIGHT1,0,0,0.629,0.6,0.0,0.0,0.0,0.35,0.0,0.02,
26.121,DATA,STRAIGHT1,0,0,0.629,0.6,0.0,0.0,0.0,0.35,0.0,0.02,
26.222,DATA,STRAIGHT1,0,0,0.629,0.6,0.0,0.0,0.0,0.35,0.0,0.019,
26.324,DATA,STRAIGHT1,0,0,0.629,0.6,0.0,0.0,0.0,0.35,0.0,0.019,
26.427,DATA,STRAIGHT1,0,0,0.629,0.6,0.0,0.0,0.0,0.35,0.0,0.019,
26.529,DATA,STRAIGHT1,0,0,0.629,0.6,0.0,0.0,0.0,0.35,0.0,0.018,
26.631,DATA,STRAIGHT1,0,0,0.629,0.6,0.0,0.0,0.0,0.35,0.0,0.018,
26.733,DATA,STRAIGHT1,0,0,0.629,0.6,0.0,0.0,0.0,0.35,0.0,0.018,
26.835,DATA,STRAIGHT1,0,0,0.629,0.6,0.0,0.0,0.0,0.35,0.0,0.017,
26.937,DATA,STRAIGHT1,0,0,0.629,0.6,0.0,0.0,0.0,0.35,0.0,0.017,
27.039,DATA,STRAIGHT1,0,0,0.629,0.6,0.0,0.0,0.0,0.35,0.0,0.017,
27.142,DATA,STRAIGHT1,0,0,0.629,0.6,0.0,0.0,0.0,0.35,0.0,0.017,
27.244,DATA,STRAIGHT1,0,0,0.629,0.6,0.0,0.0,0.0,0.35,0.0,0.016,
27.346,DATA,STRAIGHT1,0,0,0.629,0.6,0.0,0.0,0.0,0.35,0.0,0.016,
27.448,DATA,STRAIGHT1,0,0,0.629,0.6,0.0,0.0,0.0,0.35,0.0,0.016,
27.55,DATA,STRAIGHT1,0,0,0.629,0.6,0.0,0.0,0.0,0.35,0.0,0.015,
27.652,DATA,STRAIGHT1,0,0,0.629,0.6,0.0,0.0,0.0,0.35,0.0,0.015,
27.754,DATA,STRAIGHT1,0,0,0.629,0.6,0.0,0.0,0.0,0.35,0.0,0.015,
27.856,DATA,STRAIGHT1,0,0,0.629,0.6,0.0,0.0,0.0,0.35,0.0,0.014,
27.958,DATA,STRAIGHT1,0,0,0.629,0.6,0.0,0.0,0.0,0.35,0.0,0.014,
28.06,DATA,STRAIGHT1,0,0,0.629,0.6,0.0,0.0,0.0,0.35,0.0,0.014,
28.162,DATA,STRAIGHT1,0,0,0.629,0.6,0.0,0.0,0.0,0.35,0.0,0.014,
28.264,DATA,STRAIGHT1,0,0,0.629,0.6,0.0,0.0,0.0,0.35,0.0,0.013,
28.366,DATA,STRAIGHT1,0,0,0.629,0.6,0.0,0.0,0.0,0.35,0.0,0.013,
28.469,DATA,STRAIGHT1,0,0,0.629,0.6,0.0,0.0,0.0,0.35,0.0,0.013,
28.571,DATA,STRAIGHT1,0,0,0.629,0.6,0.0,0.0,0.0,0.35,0.0,0.012,
28.673,DATA,STRAIGHT1,0,0,0.629,0.6,0.0,0.0,0.0,0.35,0.0,0.012,
28.775,DATA,STRAIGHT1,0,0,0.629,0.6,0.0,0.0,0.0,0.35,0.0,0.012,
28.877,DATA,STRAIGHT1,0,0,0.629,0.6,0.0,0.0,0.0,0.35,0.0,0.011,
28.979,DATA,STRAIGHT1,0,0,0.629,0.6,0.0,0.0,0.0,0.35,0.0,0.011,
29.081,DATA,STRAIGHT1,0,0,0.629,0.6,0.0,0.0,0.0,0.35,0.0,0.011,
29.184,DATA,STRAIGHT1,0,0,0.629,0.6,0.0,0.0,0.0,0.35,0.0,0.011,
29.286,DATA,STRAIGHT1,0,0,0.629,0.6,0.0,0.0,0.0,0.35,0.0,0.01,
29.388,DATA,STRAIGHT1,0,0,0.629,0.6,0.0,0.0,0.0,0.35,0.0,0.01,
29.49,DATA,STRAIGHT1,0,0,0.629,0.6,0.0,0.0,0.0,0.35,0.0,0.01,
29.592,DATA,STRAIGHT1,0,0,0.629,0.6,0.0,0.0,0.0,0.35,0.0,0.009,
29.695,DATA,STRAIGHT1,0,0,0.629,0.6,0.0,0.0,0.0,0.35,0.0,0.009,
29.797,DATA,STRAIGHT1,0,0,0.629,0.6,0.0,0.0,0.0,0.35,0.0,0.009,
29.899,DATA,STRAIGHT1,0,0,0.629,0.6,0.0,0.0,0.0,0.35,0.0,0.008,
30.001,DATA,STRAIGHT1,0,0,0.629,0.6,0.0,0.0,0.0,0.35,0.0,0.008,
30.103,DATA,STRAIGHT1,0,0,0.629,0.6,0.0,0.0,0.0,0.35,0.0,0.008,
30.205,DATA,STRAIGHT1,0,0,0.629,0.6,0.0,0.0,0.0,0.35,0.0,0.008,
30.307,DATA,STRAIGHT1,0,0,0.629,0.6,0.0,0.0,0.0,0.35,0.0,0.007,
30.409,DATA,STRAIGHT1,0,0,0.629,0.6,0.0,0.0,0.0,0.35,0.0,0.007,
30.511,DATA,STRAIGHT1,0,0,0.629,0.6,0.0,0.0,0.0,0.35,0.0,0.007,
30.613,DATA,STRAIGHT1,0,0,0.629,0.6,0.0,0.0,0.0,0.35,0.0,0.006,
30.715,DATA,STRAIGHT1,0,0,0.629,0.6,0.0,0.0,0.0,0.35,0.0,0.006,
30.817,DATA,STRAIGHT1,0,0,0.629,0.6,0.0,0.0,0.0,0.35,0.0,0.006,
30.919,DATA,STRAIGHT1,0,0,0.629,0.6,0.0,0.0,0.0,0.35,0.0,0.005,
31.022,DATA,STRAIGHT1,0,0,0.629,0.6,0.0,0.0,0.0,0.35,0.0,0.005,
31.124,DATA,STRAIGHT1,0,0,0.629,0.6,0.0,0.0,0.0,0.35,0.0,0.005,
31.226,DATA,STRAIGHT1,0,0,0.629,0.6,0.0,0.0,0.0,0.35,0.0,0.005,
31.328,DATA,STRAIGHT1,0,0,0.629,0.6,0.0,0.0,0.0,0.35,0.0,0.004,
31.409,EVENT,,,,,,,,,,,,STATE -> TURN1
31.43,DATA,TURN1,0,90.0,0.629,0.6,0.0,0.0,0.0,0.0,0.6,0.004,
31.532,DATA,TURN1,0.07,90.0,0.629,0.6,0.0,0.0,1.48,0.0,0.6,0.004,
31.634,DATA,TURN1,0.37,90.0,0.629,0.6,0.0,0.0,4.02,0.0,0.6,0.003,
31.736,DATA,TURN1,0.98,90.0,0.629,0.6,0.0,0.0,7.34,0.0,0.6,0.003,
31.839,DATA,TURN1,1.96,90.0,0.629,0.6,0.0,0.0,11.1,0.0,0.6,0.003,
31.941,DATA,TURN1,3.29,90.0,0.629,0.6,0.0,0.0,14.37,0.0,0.6,0.002,
32.043,DATA,TURN1,4.92,90.0,0.629,0.6,0.0,0.0,17.03,0.0,0.6,0.002,
32.145,DATA,TURN1,6.78,90.0,0.629,0.6,0.0,0.0,19.2,0.0,0.6,0.002,
32.247,DATA,TURN1,8.84,90.0,0.629,0.6,0.0,0.0,20.98,0.0,0.6,0.002,
32.349,DATA,TURN1,11.06,90.0,0.629,0.6,0.0,0.0,22.42,0.0,0.6,0.001,
32.451,DATA,TURN1,13.4,90.0,0.629,0.6,0.0,0.0,23.6,0.0,0.6,0.001,
32.553,DATA,TURN1,15.85,90.0,0.629,0.6,0.0,0.0,24.56,0.0,0.6,0.001,
