t,type,state,heading,target_heading,depth,target_depth,roll,pitch,yaw_rate,surge,yaw,heave,note
1.01,EVENT,,,,,,,,,,,,STATE -> COUNTDOWN
13.03,EVENT,,,,,,,,,,,,STATE -> DIVE
13.133,DATA,DIVE,0,0,0.001,0.6,0.0,0.0,0.0,0.0,0.0,1.0,
13.235,DATA,DIVE,0,0,0.003,0.6,0.0,0.0,0.0,0.0,0.0,1.0,
13.338,DATA,DIVE,0,0,0.009,0.6,0.0,0.0,0.0,0.0,0.0,1.0,
13.44,DATA,DIVE,0,0,0.019,0.6,0.0,0.0,0.0,0.0,0.0,1.0,
13.543,DATA,DIVE,0,0,0.032,0.6,0.0,0.0,0.0,0.0,0.0,1.0,
13.645,DATA,DIVE,0,0,0.048,0.6,0.0,0.0,0.0,0.0,0.0,1.0,
13.748,DATA,DIVE,0,0,0.067,0.6,0.0,0.0,0.0,0.0,0.0,0.965,
13.85,DATA,DIVE,0,0,0.089,0.6,0.0,0.0,0.0,0.0,0.0,0.908,
13.953,DATA,DIVE,0,0,0.112,0.6,0.0,0.0,0.0,0.0,0.0,0.851,
14.056,DATA,DIVE,0,0,0.142,0.6,0.0,0.0,0.0,0.0,0.0,0.748,
14.158,DATA,DIVE,0,0,0.167,0.6,0.0,0.0,0.0,0.0,0.0,0.718,
14.261,DATA,DIVE,0,0,0.193,0.6,0.0,0.0,0.0,0.0,0.0,0.674,
14.363,DATA,DIVE,0,0,0.219,0.6,0.0,0.0,0.0,0.0,0.0,0.627,
14.466,DATA,DIVE,0,0,0.245,0.6,0.0,0.0,0.0,0.0,0.0,0.58,
14.569,DATA,DIVE,0,0,0.271,0.6,0.0,0.0,0.0,0.0,0.0,0.534,
14.671,DATA,DIVE,0,0,0.296,0.6,0.0,0.0,0.0,0.0,0.0,0.491,
14.773,DATA,DIVE,0,0,0.32,0.6,0.0,0.0,0.0,0.0,0.0,0.449,
14.876,DATA,DIVE,0,0,0.344,0.6,0.0,0.0,0.0,0.0,0.0,0.41,
14.978,DATA,DIVE,0,0,0.367,0.6,0.0,0.0,0.0,0.0,0.0,0.373,
15.081,DATA,DIVE,0,0,0.388,0.6,0.0,0.0,0.0,0.0,0.0,0.339,
15.183,DATA,DIVE,0,0,0.409,0.6,0.0,0.0,0.0,0.0,0.0,0.307,
15.287,DATA,DIVE,0,0,0.429,0.6,0.0,0.0,0.0,0.0,0.0,0.277,
15.389,DATA,DIVE,0,0,0.448,0.6,0.0,0.0,0.0,0.0,0.0,0.248,
15.409,EVENT,,,,,,,,,,,,STATE -> STRAIGHT1
15.492,DATA,STRAIGHT1,0,0,0.469,0.6,0.0,0.0,0.0,0.35,0.0,0.203,
15.594,DATA,STRAIGHT1,0,0,0.486,0.6,0.0,0.0,0.0,0.35,0.0,0.189,
15.696,DATA,STRAIGHT1,0,0,0.501,0.6,0.0,0.0,0.0,0.35,0.0,0.171,
15.798,DATA,STRAIGHT1,0,0,0.516,0.6,0.0,0.0,0.0,0.35,0.0,0.152,
15.901,DATA,STRAIGHT1,0,0,0.529,0.6,0.0,0.0,0.0,0.35,0.0,0.134,
16.003,DATA,STRAIGHT1,0,0,0.541,0.6,0.0,0.0,0.0,0.35,0.0,0.122,
16.105,DATA,STRAIGHT1,0,0,0.551,0.6,0.0,0.0,0.0,0.35,0.0,0.112,
16.207,DATA,STRAIGHT1,0,0,0.561,0.6,0.0,0.0,0.0,0.35,0.0,0.104,
16.309,DATA,STRAIGHT1,0,0,0.569,0.6,0.0,0.0,0.0,0.35,0.0,0.097,
16.412,DATA,STRAIGHT1,0,0,0.576,0.6,0.0,0.0,0.0,0.35,0.0,0.091,
16.514,DATA,STRAIGHT1,0,0,0.582,0.6,0.0,0.0,0.0,0.35,0.0,0.085,
16.616,DATA,STRAIGHT1,0,0,0.588,0.6,0.0,0.0,0.0,0.35,0.0,0.081,
16.718,DATA,STRAIGHT1,0,0,0.593,0.6,0.0,0.0,0.0,0.35,0.0,0.076,
16.82,DATA,STRAIGHT1,0,0,0.597,0.6,0.0,0.0,0.0,0.35,0.0,0.073,
16.923,DATA,STRAIGHT1,0,0,0.601,0.6,0.0,0.0,0.0,0.35,0.0,0.069,
17.025,DATA,STRAIGHT1,0,0,0.604,0.6,0.0,0.0,0.0,0.35,0.0,0.066,
17.127,DATA,STRAIGHT1,0,0,0.607,0.6,0.0,0.0,0.0,0.35,0.0,0.064,
17.23,DATA,STRAIGHT1,0,0,0.61,0.6,0.0,0.0,0.0,0.35,0.0,0.061,
17.332,DATA,STRAIGHT1,0,0,0.612,0.6,0.0,0.0,0.0,0.35,0.0,0.059,
17.434,DATA,STRAIGHT1,0,0,0.614,0.6,0.0,0.0,0.0,0.35,0.0,0.057,
17.537,DATA,STRAIGHT1,0,0,0.616,0.6,0.0,0.0,0.0,0.35,0.0,0.055,
17.639,DATA,STRAIGHT1,0,0,0.618,0.6,0.0,0.0,0.0,0.35,0.0,0.054,
17.742,DATA,STRAIGHT1,0,0,0.619,0.6,0.0,0.0,0.0,0.35,0.0,0.052,
17.844,DATA,STRAIGHT1,0,0,0.62,0.6,0.0,0.0,0.0,0.35,0.0,0.051,
17.946,DATA,STRAIGHT1,0,0,0.621,0.6,0.0,0.0,0.0,0.35,0.0,0.05,
18.048,DATA,STRAIGHT1,0,0,0.622,0.6,0.0,0.0,0.0,0.35,0.0,0.049,
18.154,DATA,STRAIGHT1,0,0,0.623,0.6,0.0,0.0,0.0,0.35,0.0,0.047,
18.256,DATA,STRAIGHT1,0,0,0.624,0.6,0.0,0.0,0.0,0.35,0.0,0.047,
18.358,DATA,STRAIGHT1,0,0,0.625,0.6,0.0,0.0,0.0,0.35,0.0,0.046,
18.46,DATA,STRAIGHT1,0,0,0.625,0.6,0.0,0.0,0.0,0.35,0.0,0.045,
18.563,DATA,STRAIGHT1,0,0,0.626,0.6,0.0,0.0,0.0,0.35,0.0,0.045,
18.665,DATA,STRAIGHT1,0,0,0.626,0.6,0.0,0.0,0.0,0.35,0.0,0.044,
18.767,DATA,STRAIGHT1,0,0,0.627,0.6,0.0,0.0,0.0,0.35,0.0,0.043,
18.869,DATA,STRAIGHT1,0,0,0.627,0.6,0.0,0.0,0.0,0.35,0.0,0.043,
18.971,DATA,STRAIGHT1,0,0,0.627,0.6,0.0,0.0,0.0,0.35,0.0,0.042,
19.073,DATA,STRAIGHT1,0,0,0.627,0.6,0.0,0.0,0.0,0.35,0.0,0.042,
19.175,DATA,STRAIGHT1,0,0,0.628,0.6,0.0,0.0,0.0,0.35,0.0,0.041,
19.279,DATA,STRAIGHT1,0,0,0.628,0.6,0.0,0.0,0.0,0.35,0.0,0.041,
19.381,DATA,STRAIGHT1,0,0,0.628,0.6,0.0,0.0,0.0,0.35,0.0,0.04,
19.484,DATA,STRAIGHT1,0,0,0.628,0.6,0.0,0.0,0.0,0.35,0.0,0.04,
19.586,DATA,STRAIGHT1,0,0,0.628,0.6,0.0,0.0,0.0,0.35,0.0,0.04,
19.688,DATA,STRAIGHT1,0,0,0.628,0.6,0.0,0.0,0.0,0.35,0.0,0.039,
19.791,DATA,STRAIGHT1,0,0,0.629,0.6,0.0,0.0,0.0,0.35,0.0,0.039,
19.893,DATA,STRAIGHT1,0,0,0.629,0.6,0.0,0.0,0.0,0.35,0.0,0.038,
19.995,DATA,STRAIGHT1,0,0,0.629,0.6,0.0,0.0,0.0,0.35,0.0,0.038,
20.097,DATA,STRAIGHT1,0,0,0.629,0.6,0.0,0.0,0.0,0.35,0.0,0.038,
20.199,DATA,STRAIGHT1,0,0,0.629,0.6,0.0,0.0,0.0,0.35,0.0,0.037,
20.301,DATA,STRAIGHT1,0,0,0.629,0.6,0.0,0.0,0.0,0.35,0.0,0.037,
20.403,DATA,STRAIGHT1,0,0,0.629,0.6,0.0,0.0,0.0,0.35,0.0,0.037,
20.505,DATA,STRAIGHT1,0,0,0.629,0.6,0.0,0.0,0.0,0.35,0.0,0.036,
20.608,DATA,STRAIGHT1,0,0,0.629,0.6,0.0,0.0,0.0,0.35,0.0,0.036,
20.71,DATA,STRAIGHT1,0,0,0.629,0.6,0.0,0.0,0.0,0.35,0.0,0.036,
20.812,DATA,STRAIGHT1,0,0,0.629,0.6,0.0,0.0,0.0,0.35,0.0,0.035,
20.914,DATA,STRAIGHT1,0,0,0.629,0.6,0.0,0.0,0.0,0.35,0.0,0.035,
21.016,DATA,STRAIGHT1,0,0,0.629,0.6,0.0,0.0,0.0,0.35,0.0,0.035,
